#marque,modele,reference fournisseur,reference sap,designation taille mL mL,nombre produit par carton,prix achat,prix vente,code barre
LACOSTE,LACOSTE POUR FEMME,82430591,107100,POUR FEMME EDP 90 mL,30,66.4,83,737052949215
LACOSTE,L!VE,82442816,PG82442816,LACOSTE L!VE MALE  EDT 40 mL,24,34.4,43,737052779720
LACOSTE,L!VE,82442817,82442817,LACOSTE L!VE MALE  EDT 100 mL,18,60,75,737052780382
LACOSTE,L12.12,82459157,82459157,LACOSTE EAU L.12.12 ENERGIZED EDT 100 mL,,60,75,730870188071
LACOSTE,L12.14,82448885,82448885,L12.12 JAUNE EDT VAPO 50 mL,45,44,55,737052896267
LACOSTE,L12.15,82447355,82447355,L12.12 JAUNE EDT VAPO 100 mL,24,60,75,737052866888
LACOSTE,L12.17,82464355,82448880,L 12 12 NOIR EDT 50 mL,24,44,55,737052896106
LACOSTE,L12.18,82460327,82435779,L 12 12 NOIR EDT 100 mL,20,60,75,737052662664
LACOSTE,L12.20,82448892,82448892, L.12.12 ROUGE EDT 50 mL,24,44,55,737052896519
LACOSTE,L12.21,82427095,82427095,L12.12 ROUGE EDT 100 mL,20,60,75,737052517667
LACOSTE,L12.23,82448875,82448875,L.12.12 BLANC EDT 50 mL,24,44,55,737052895956
LACOSTE,L12.24,82460019,82419427,L.12.12 BLANC EDT 100 mL,20,60,75,737052413174
LACOSTE,LACOSTE CHALLENGE,82450950,81127575,LACOSTE CHALLENGE EDT 90 mL,24,56,70,737052248097
LACOSTE,LACOSTE CHALLENGE,82423152,82423152,CHALLENGE REFRESH  DEO STICK 75 mL,,17.6,22,737052466989
LACOSTE,ESSENTIAL,80948323,107041,ESSENTIAL EDT 75 mL,30,46.4,58,737052483238
LACOSTE,ESSENTIAL,80948321,107040,ESSENTIAL EDT 125 mL,24,60.8,76,737052483214
LACOSTE,BOOSTER,81091146,107070,BOOSTER EDT 125 mL,24,56,70,3355800001793
LACOSTE,ORIGINAL,82451331,107061,ORIGINAL EDT 50 mL,36,44,55,3355800000017
LACOSTE,ORIGINAL,82464357,107060,ORIGINAL EDT 100 mL,18,60,75,3355800000031
LACOSTE,LACOSTE POUR HOMME,80989242,107091,POUR HOMME EDT 50 mL,36,44,55,737052892429
LACOSTE,LACOSTE POUR HOMME,80989241,107090,POUR HOMME EDT 100 mL,27,60,75,737052892412
LACOSTE,RED,82418894,107001,RED EDT 75 mL,27,46.4,58,737052074757
LACOSTE,RED,82451334,107000,RED EDT 125 mL,24,60.8,76,737052074740
ESCADA,Fiesta Carioca,82462388,82462388,ESCADA FIESTA CARIOCA EDT 50 mL,,45.6,57,730870229033
ESCADA,Fiesta Carioca,82462389,82462389,ESCADA FIESTA CARIOCA EDT 100 mL,,58.4,73,730870229071
ESCADA,Agua del sol,82455910,82455910,ESCADA AGUA DEL SOL EDT VAPO *** 100 mL,30,58.4,73,730870128244
ESCADA,Joyful,82442750,82442750,ESCADA JOYFUL EDP 50 mL,36,58.4,73,737052778303
ESCADA,Joyful,82442751,82442751,ESCADA JOYFUL EDP 75 mL,27,76,95,737052778341
ESCADA,Especially,82420728,82420728,ESPECIALLY ESCADA EDP 30 mL,21,41.6,52,737052429977
ESCADA,Especially,82450943,82420729,ESPECIALLY ESCADA EDP 50 mL,21,58.4,73,737052430515
ESCADA,Especially,82450945,82420730,ESPECIALLY ESCADA EDP 75 mL,36,76,95,737052430546
ESCADA,Especially Elixir,82437006,PG82437006,ESCADA ESPECIALLY ELIXIR EDP 30 mL,36,41.6,52,737052684833
ESCADA,Especially Elixir,82437008,82437008,ESCADA ESPECIALLY ELIXIR EDP 50 mL,21,58.4,73,737052684871
ESCADA,Especially Elixir,82437009,82437009,ESCADA ESPECIALLY ELIXIR EDP 75 mL,21,76,95,737052684956
ESCADA,Magnetism,82432252,440,MAGNETISM EDP 50 mL,36,50.4,63,3393670000034
ESCADA,Magnetism,82432251,441,MAGNETISM EDP 75 mL,24,64,80,3393670000027
